ID,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7
3931.0,-275.379598755762,-170.6679104311215,-38.027757799581494,-249.60777576288746,-7.250271823034698,-165.40763452470418,-15.49927397127757
4962.0,10.47406047696607,299.8096138424884,-219.22776537849856,308.68762080337785,-473.15422399851906,12.090880674873498,-238.2017265363683
4712.0,640.457898733654,13.52743860793507,-1527.6124894300979,908.2072615894876,-198.55181914897256,-213.61594907314645,118.18560236516797
5612.0,-1621.186861227784,-168.66316466048755,1324.754450316565,-348.71161062039715,803.4924716922915,-415.8121049167396,-1.662952842148833
3069.0,-41.46767546624515,95.54364061158267,-244.28390334021336,105.88959103971912,320.0780801401611,71.59025020580059,-47.76872201928239
556.0,1566.9707232628361,494.52310357535197,-406.2271240008935,343.2018908066203,12.676577099308563,-268.0800215113521,-126.63308385174282
8864.0,-45.74910780078767,-347.9586028424958,332.7904275539868,-314.33773637693156,198.94733507752983,-118.30107162649239,-55.01433070467444
2907.0,755.8810350459596,-55.888792382158925,150.0819455407571,-156.69245217836638,-996.4678628381849,44.13171774525083,149.84207099627133
1133.0,-187.77888777037566,-24.57842219292607,-248.00783971855688,61.41295096843879,-23.636779661081032,-191.44213914355194,215.38555427114355
1129.0,467.3607592544534,220.7484316509981,-24.381083998638548,50.22409367494443,37.252109902001564,186.57637953852074,-137.121345059737
55.0,544.3903788381638,-293.7078181747589,-43.09122760615704,0.13443161129831793,-187.9398267295678,315.7466847219196,11.350508139015712
3582.0,946.3386324773916,154.2336353762574,-54.201162047433314,-167.64336908121786,-135.35995462538725,-168.33438211955985,-98.15708491061828
6005.0,333.84614710870244,-349.1139820350713,-534.5913462186661,-69.83036768660908,109.22951528923875,75.55619081783604,-47.385776822551534
328.0,408.41665363670586,-192.48368461419773,284.4584318996649,34.90262256140943,-155.45690669897996,-269.44771314659346,-8.230906972343758
189.0,192.11848971583044,55.84703714127093,26.678480389473233,1268.7734390381295,354.9758205775565,-32.35988541903059,106.83130229296444
3922.0,1977.2708059962413,-167.07071568262245,-198.23935102387887,-43.19846218362258,52.020008508517755,-716.3443487320748,276.2311964845904
10123.0,7.958454856750823,-146.0352980866498,-1183.5996660850722,-119.09002707566039,-259.02855278470093,30.81668958827538,85.0732895008595
8911.0,-107.3065536525325,954.5399263218605,108.78680320806261,204.37625937025842,-72.60877836995567,-11.386747460657503,-94.37201345092464
5146.0,1222.8546127934228,-240.1631121502293,249.80926059772543,1920.081071007648,-26.390405250194853,17.661273930317503,-233.26126973086127
7053.0,-246.19585348364032,-181.78539351519325,182.71570769539463,1545.116217074269,35.10785165199836,-0.4870442093667871,-197.12698426645758
574.0,131.2104786942848,-249.7995858030447,140.00859998862722,-68.81959111935466,-139.4479615944679,-377.0855944181015,128.04698421214056
1036.0,-377.26754372728084,-12.807698468372884,752.4581029542936,78.73101906164969,-150.16234205880806,-173.26561147996287,12.293700586937788
637.0,-253.9201231177041,-305.99951358521116,562.4380895703523,-214.84526469449324,-280.63344734471406,491.99864226217517,218.5203190623184
1467.0,-1049.6235504022104,1611.9108225910072,-197.3136069388102,-1656.1294816681125,-114.50009495700851,106.5197311273069,-77.49473709130153
168.0,164.46796682786052,-32.8868695477356,1758.3727164588536,699.255311050301,-0.4240559215360793,13.283904714149187,-60.38673791408827
62.0,-862.584566028209,117.6590936905869,-986.145676138147,196.27775421706033,-480.76141848272914,69.1008899195309,175.35070497267083
7547.0,-375.29038551183066,419.31771367662674,-1086.7728497369314,-816.2213040498133,-181.10724623468263,-9.591581683207796,-120.39659259122472
